variable,category,count
Comptes,A14,394
Comptes,A11,274
Comptes,A12,269
Comptes,A13,63
Historique_credit,A32,530
Historique_credit,A34,293
Historique_credit,A33,88
Historique_credit,A31,49
Historique_credit,A30,40
Objet_credit,A43,280
Objet_credit,A40,234
Objet_credit,A42,181
Objet_credit,A41,103
Objet_credit,A49,97
Objet_credit,A46,50
Objet_credit,A45,22
Objet_credit,A44,12
Objet_credit,A410,12
Objet_credit,A48,9
Epargne,A61,603
Epargne,A65,183
Epargne,A62,103
Epargne,A63,63
Epargne,A64,48
Anciennete_emploi,A73,339
Anciennete_emploi,A75,253
Anciennete_emploi,A74,174
Anciennete_emploi,A72,172
Anciennete_emploi,A71,62
Situation_familiale,A93,548
Situation_familiale,A92,310
Situation_familiale,A94,92
Situation_familiale,A91,50
Garanties,A101,907
Garanties,A103,52
Garanties,A102,41
Biens,A123,332
Biens,A121,282
Biens,A122,232
Biens,A124,154
Autres_credits,A143,814
Autres_credits,A141,139
Autres_credits,A142,47
Statut_domicile,A152,713
Statut_domicile,A151,179
Statut_domicile,A153,108
Type_emploi,A173,630
Type_emploi,A172,200
Type_emploi,A174,148
Type_emploi,A171,22
Telephone,A191,596
Telephone,A192,404
Etranger,A201,963
Etranger,A202,37
